"","Units","MeterInformation_fk","Permit_Ref","Inspection_Date","Meter_Reading","Fixed_Zeros","Multiplier","NumberOfDials","Prev_insp_date","Prev_meter_read","Volume_Used","Use_Period","PermitList_fk","WR_Number","Latitude","Longitude","BUCode","count_permits","cf","converted_use_rate_AFD"
"816","Barrels-Oil","td20MDV7ul9R","4he7GRYc_Fro",2021-10-22,791724,0,10,6,2020-10-08,629905,1618190,379,"4he7GRYc_Fro","P8486.0W",41.026823,-104.366441,"IRR_GW",1,7755.351,0.550539957103187
"817","Barrels-Oil","mn25AqSz5POA","ks3cvXhLs9uk",2021-11-09,100959,0,10,6,2020-10-21,91918,90410,384,"ks3cvXhLs9uk","P28516.0W",41.207167,-104.517111,"IRR_GW",1,7755.351,0.0303587430579652
"818","Barrels-Oil","td20MDV7ul9R","4he7GRYc_Fro",2020-10-08,629905,0,10,6,2019-11-05,436992,1929130,338,"4he7GRYc_Fro","P8486.0W",41.026823,-104.366441,"IRR_GW",1,7755.351,0.735941572096555
"819","Gallons","1vLukY_hYB5s","wQ5aTwEwILrc, XLUa6cEGXQ_7",2021-11-09,97659,0,1000,6,2020-11-04,83620,14039000,370,"XLUa6cEGXQ_7","P71904.0W",41.21813,-104.46896,"IRR_GW",2,325851.42857,0.116443384673062
"820","Gallons","D1FIuXMhSIDV","u9ykcMQ0EV6Q, SqfwFm9mTbHh",2021-10-01,0,1,1,6,2020-10-21,74399,9256010,345,"u9ykcMQ0EV6Q","P147240.0W",41.16501,-104.701,"MIS",2,325851.42857,0.0823351139213747
"821","Gallons","_Ipd5GTWUizX","BK4Fr7dMKVCL, o4fi5jMuFiR-",2021-11-15,96605,0,100,6,2020-11-02,872046,22455900,378,"o4fi5jMuFiR-","P76696.0W",41.28906,-104.21014,"IRR_GW",2,325851.42857,0.182313587262303
"822","Gallons","fj-QyPDjQPzC","D4u7wCFs1xMJ, _hqvS_eQwAsV, ZNakEcb32bYE",2021-11-15,683946,0,1000,6,2020-10-21,619659,64287000,390,"ZNakEcb32bYE","P145074.0W",41.187103,-104.263522,"IRR_GW",3,325851.42857,0.505869998059716
"823","Gallons","hxkReWonUUQv","_LsRxDly-0VV, V8WxPTiNlPGf",2020-10-21,11877,0,1000,NA,2019-12-18,3114.8,8762200,308,"_LsRxDly-0VV","P359.0C",41.16843,-104.17325,"IRR_GW",2,325851.42857,0.0873057436744976
"824","Gallons","hxkReWonUUQv","_LsRxDly-0VV, V8WxPTiNlPGf",2020-10-21,11877,0,1000,NA,2019-12-18,3114.8,8762200,308,"V8WxPTiNlPGf","P24686.0W",41.16843,-104.17325,"IRR_GW",2,325851.42857,0.0873057436744976
"825","Gallons","KLsTkoUOrrPw","zqCRTe8pPPJk",2021-10-11,7859.9,0,1000,NA,2020-10-12,197949.1,NA,364,"zqCRTe8pPPJk","P2282.0W",41.01862,-104.279,"IRR_GW",1,325851.42857,NA
"826","Gallons","dS4TZsA6b3zD","X3T4bWitVFPf, MX03M2g-CZcC",2021-11-04,182136,0,100,6,2020-11-04,719828,46230800,365,"X3T4bWitVFPf","P366.0C",41.209874,-104.131252,"IRR_GW",2,325851.42857,0.388703915104021
"827","Gallons","dS4TZsA6b3zD","X3T4bWitVFPf, MX03M2g-CZcC",2021-11-04,182136,0,100,6,2020-11-04,719828,46230800,365,"MX03M2g-CZcC","P10523.0W",41.209874,-104.131252,"IRR_GW",2,325851.42857,0.388703915104021
"828","Gallons","62RhafpmLEdW","iNp2ws1gQJPZ",2021-11-09,618943,0,100,6,2020-11-17,128258,49068500,357,"iNp2ws1gQJPZ","P33907.0W",41.19469,-104.41225,"IRR_GW",1,325851.42857,0.421808120696816
"829","Gallons","D1FIuXMhSIDV","u9ykcMQ0EV6Q, SqfwFm9mTbHh",2021-10-01,0,1,1,6,2020-10-21,74399,9256010,345,"SqfwFm9mTbHh","P206676.0W",41.16425,-104.703583,"IRR_GW",2,325851.42857,0.0823351139213747
"830","Gallons","517UsknweXzq","qmmFlhxMZWZL, 9F6VatPWH2XY",2020-10-07,463350,0,1000,6,2020-02-14,412099,51251000,236,"9F6VatPWH2XY","P156192.0W",41.03859,-104.41471,"IRR_GW",2,325851.42857,0.666454817124229
"831","Gallons","517UsknweXzq","qmmFlhxMZWZL, 9F6VatPWH2XY",2021-12-14,516531,0,1000,6,2020-10-07,463350,53181000,433,"qmmFlhxMZWZL","P17034.0W",41.03859,-104.41471,"IRR_GW",2,325851.42857,0.376919818859982
"832","Gallons","KLsTkoUOrrPw","zqCRTe8pPPJk",2020-10-12,197949.1,0,1000,NA,2019-11-06,159055.8,38893300,341,"zqCRTe8pPPJk","P2282.0W",41.01862,-104.279,"IRR_GW",1,325851.42857,0.350026386997924
"833","Gallons","BOG3mH2O6htT","dHSEbxedY21D, fCj5rMpQy9gm, ztsxjuWDZw5g",2020-10-02,9705,0,100,6,2019-10-28,280240,72946500,340,"dHSEbxedY21D","P24962.0W",41.410915,-104.272139,"IRR_GW",3,325851.42857,0.658424394066067
